text,label,sentiment,processed_text
don't make the same mistake i did.,0,negative,dont make mistake
oh and i forgot to also mention the weird color effect it has on your phone.,0,negative,oh forgot also mention weird color effect phone
i'm using it with an iriver spinn (with case) and it fits fine.,1,positive,im using iriver spinn case fit fine
also the area where my unit broke).- i'm not too fond of the magnetic strap.,0,negative,also area unit broke im fond magnetic strap
"overall, i am psyched to have a phone which has all my appointments and contacts in and gets great reception.",1,positive,overall psyched phone appointment contact get great reception
"every thing on phone work perfectly, she like it.",1,positive,every thing phone work perfectly like
"another note about this phone's appearance is that it really looks rather bland, especially in the all black model.",0,negative,another note phone appearance really look rather bland especially black model
it's really easy.,1,positive,really easy
my sanyo has survived dozens of drops on blacktop without ill effect.,1,positive,sanyo survived dozen drop blacktop without ill effect
fantastic earphones.,1,positive,fantastic earphone
it finds my cell phone right away when i enter the car.,1,positive,find cell phone right away enter car
low quality.,0,negative,low quality
i highly recommend this modest priced cellular phone.,1,positive,highly recommend modest priced cellular phone
but it does get better reception and clarity than any phone i've had before.,1,positive,get better reception clarity phone ive
warning - stay away.,0,negative,warning stay away
i wish i could return the unit and get back my money.,0,negative,wish could return unit get back money
awsome device works great!!.,1,positive,awsome device work great
i used to talk on it for 1 - 1 1/2 hours and the battery would be literally drained and dying.,0,negative,used talk hour battery would literally drained dying
"if you don't find it, too bad, as again the unit comes with one earpad only.i would not recommend this to anyone.",0,negative,dont find bad unit come one earpad onlyi would recommend anyone
very displeased.,0,negative,displeased
"i might have gotten a defect, but i would not risk buying it again because of the built quality alone.",0,negative,might gotten defect would risk buying built quality alone
they made this case too small and is very difficult to install.,0,negative,made case small difficult install
restored my phone to like new performance.,1,positive,restored phone like new performance
"i would recommend purchasing the jabra jx-10 series 2 which works flawlessly with my moto q, go figure.",1,positive,would recommend purchasing jabra jx series work flawlessly moto q go figure
"i searched the internet, and found this one to be the best value.",1,positive,searched internet found one best value
does not fit.,0,negative,fit
very happy with this product.,1,positive,happy product
"the screen size is big, key pad lit well enough, and the camera quality is excellent for a camera phone.",1,positive,screen size big key pad lit well enough camera quality excellent camera phone
there's really nothing bad i can say about this headset.,0,negative,there really nothing bad say headset
"i'm glad i found this product on amazon it is hard to find, it wasn't high priced.",1,positive,im glad found product amazon hard find wasnt high priced
portable and it works.,1,positive,portable work
"my colleague & i now get great reception.a little expensive, but performance is great.",1,positive,colleague get great receptiona little expensive performance great
i even fully charged it before i went to bed and turned off blue tooth and wi-fi and noticed that it only had 20 % left in the morning.,0,negative,even fully charged went bed turned blue tooth wifi noticed left morning
i've also had problems with the phone reading the memory card in which i always turn it on and then off again.,0,negative,ive also problem phone reading memory card always turn
not good when wearing a hat or sunglasses.,0,negative,good wearing hat sunglass
timely shipment and quality product.,1,positive,timely shipment quality product
nice solid keyboard.,1,positive,nice solid keyboard
very well made and fits my surefire gx2 perfectly.,1,positive,well made fit surefire gx perfectly
horrible phone.,0,negative,horrible phone
bt50 battery junk!.,0,negative,bt battery junk
we would recommend these to others.,1,positive,would recommend others
cant get the software to work with my computer.,0,negative,cant get software work computer
disappointed!.,0,negative,disappointed
poor voice clarity.,0,negative,poor voice clarity
the battery works great!,1,positive,battery work great
no buyers remorse on this one!.,0,negative,buyer remorse one
very disappointed in accessoryone.,0,negative,disappointed accessoryone
i find this inexcusable and so will probably be returning this phone and perhaps changing carriers.,0,negative,find inexcusable probably returning phone perhaps changing carrier
"looks great and is strong.""",1,positive,look great strong
"i have had tmobile service for 2 or 3 years now, and i am pretty happy with it.",1,positive,tmobile service year pretty happy
the update procedure is difficult and cumbersome.,0,negative,update procedure difficult cumbersome
disappointment.. i hate anything that goes in my ear.,0,negative,disappointment hate anything go ear
great software for motorolas.,1,positive,great software motorolas
the delivery was on time.,1,positive,delivery time
very easy to use.,1,positive,easy use
"uncomfortable in the ear, don't use with lg vx9900 (env).",0,negative,uncomfortable ear dont use lg vx env
the volume switch rocketed out of the unit to a destination unknown.,0,negative,volume switch rocketed unit destination unknown
"it holds a charge for a long time, is reasonably comfortable under long-wearing conditions and the quality of sound is tremendous.",1,positive,hold charge long time reasonably comfortable longwearing condition quality sound tremendous
i'd like to return it.,0,negative,id like return
the keyboard is really worthwhile in usefulness and is sturdy enough i don't expect any problems.,1,positive,keyboard really worthwhile usefulness sturdy enough dont expect problem
"verizon's bills, however, are difficult to understand even though their pricing plans are simple.",0,negative,verizons bill however difficult understand even though pricing plan simple
"after charging overnight, these batteries work great.",1,positive,charging overnight battery work great
you won't regret it!,1,positive,wont regret
i love this phone!.,1,positive,love phone
a disappointment.,0,negative,disappointment
its not user friendly.,0,negative,user friendly
unfortunately the ability to actually know you are receiving a call is a rather important feature and this phone is pitiful in that respect.,0,negative,unfortunately ability actually know receiving call rather important feature phone pitiful respect
"then i exchanged for the same phone, even that had the same problem.",0,negative,exchanged phone even problem
this results in the phone being either stuck at max volume or mute.,0,negative,result phone either stuck max volume mute
this pda rocks.,1,positive,pda rock
"it is super charged up for use as a small hybrid palmtop/camera/cellphone, and excels in those roles.",1,positive,super charged use small hybrid palmtopcameracellphone excels role
"i would definitely recommend the jabra bt250v for those who are looking for comfort, clarity and a great price!",1,positive,would definitely recommend jabra btv looking comfort clarity great price
i had verizon 2 years ago and really liked their service.,1,positive,verizon year ago really liked service
pretty piece of junk.,0,negative,pretty piece junk
plug was the wrong size.,0,negative,plug wrong size
works as described.,1,positive,work described
save your money.... i've had this item for 11 months now.,0,negative,save money ive item month
bad purchase.,0,negative,bad purchase
well im satisfied.,1,positive,well im satisfied
"the bose noise cancelling is amazing, which is very important for a nyc commuter.",1,positive,bose noise cancelling amazing important nyc commuter
this battery is an excellent bargain!,1,positive,battery excellent bargain
defective crap.,0,negative,defective crap
i would have given no star if i was able.,0,negative,would given star able
i wear glasses and it fits fine with them.,1,positive,wear glass fit fine
"the sound quality for the device is unacceptable.unless you are in a really quiet area, you almost hear nothing.",0,negative,sound quality device unacceptableunless really quiet area almost hear nothing
i would not recommend this item to anyone.,0,negative,would recommend item anyone
the holster that arrived did not match the photo in the ad.,0,negative,holster arrived match photo ad
great...no problems at all!.,1,positive,greatno problem
"as an earlier review noted, plug in this charger and nothing happens.",0,negative,earlier review noted plug charger nothing happens
this frog phone charm is adorable and very eye catching.,1,positive,frog phone charm adorable eye catching
you never know if you pushed it hard enough or the right number of times for the function you want or not.,0,negative,never know pushed hard enough right number time function want
the sound is clear and the people i talk to on it are amazed at the quality too.,1,positive,sound clear people talk amazed quality
i got the aluminum case for my new palm vx and it worked really well--it has protected my handheld perfectly so far.,1,positive,got aluminum case new palm vx worked really wellit protected handheld perfectly far
"very good product, well made.",1,positive,good product well made
mobile phone tools are a must have.,1,positive,mobile phone tool must
i am very impressed with the job that motorola did on the sturdiness of this phone.,1,positive,impressed job motorola sturdiness phone
"i received my orders well within the shipping timeframe, everything was in good working order and overall, i am very excited to have this source.",1,positive,received order well within shipping timeframe everything good working order overall excited source
the phone is sturdy and waterproof.,1,positive,phone sturdy waterproof
i am not impressed with this and i would not recommend this item to anyone.,0,negative,impressed would recommend item anyone
my only complaint is the standard sound volume is a little low even when turned up to 5(of 5),0,negative,complaint standard sound volume little low even turned
thanks again to amazon for having the things i need for a good price!,1,positive,thanks amazon thing need good price
i ended up sliding it on the edge of my pants or back pockets instead.,1,positive,ended sliding edge pant back pocket instead
i had to go to a store and bought a new nokia phone which is working great.,1,positive,go store bought new nokia phone working great
really ugly.,0,negative,really ugly
"horrible, had to switch 3 times.",0,negative,horrible switch time
the noise shield is incrediable.,1,positive,noise shield incrediable
no real improvement.,0,negative,real improvement
razr battery - good buy.,1,positive,razr battery good buy
keep up the good work amazon!!,1,positive,keep good work amazon
they refuse to refund or replace.,0,negative,refuse refund replace
unfortunately it's easy to accidentally activate them with the gentle-touch buttons if you accidentally touch the phone to your face while listening.,0,negative,unfortunately easy accidentally activate gentletouch button accidentally touch phone face listening
so i basically threw my money out the window for nothing.,0,negative,basically threw money window nothing
great case and price!,1,positive,great case price
all it took was one drop from about 6 inches above the kitchen counter and it was cracked.i am not impressed and i am not laughing.,0,negative,took one drop inch kitchen counter crackedi impressed laughing
"bluetooth range is good - a few days ago i left my phone in the trunk, got a call, and carried the conversation without a hitch.",1,positive,bluetooth range good day ago left phone trunk got call carried conversation without hitch
"small, sleek, impressive looking, practical setup with ample storage in place.",1,positive,small sleek impressive looking practical setup ample storage place
the eargels channel the sound directly into your ear and seem to increase the sound volume and clarity.,1,positive,eargels channel sound directly ear seem increase sound volume clarity
none of the new ones have ever quite worked properly.,0,negative,none new one ever quite worked properly
i am glad i purchased it.,1,positive,glad purchased
i've missed numerous calls because of this reason.,0,negative,ive missed numerous call reason
"perhaps my phone is defective, but people cannot hear me when i use this.",0,negative,perhaps phone defective people cannot hear use
"sucked, most of the stuff does not work with my phone.",0,negative,sucked stuff work phone
"no shifting, no bubbling, no peeling, not even a scratch, nothing!i couldn't be more happier with my new one for the droid.",1,positive,shifting bubbling peeling even scratch nothingi couldnt happier new one droid
worst software ever used.... if i could give this zero stars i would.,0,negative,worst software ever used could give zero star would
trying to make a call on these is an exercise in frustration.,0,negative,trying make call exercise frustration
the case is a flimsy piece of plastic and has no front or side protection whatsoever.,0,negative,case flimsy piece plastic front side protection whatsoever
"i own a jabra earset and was very happy with it, but the sound quality, especially outgoing, on this is better.",1,positive,jabra earset happy sound quality especially outgoing better
"i love the camera, it's really pretty good quality.",1,positive,love camera really pretty good quality
thank you for such great service.,1,positive,thank great service
its a total package.,1,positive,total package
"the seller is very understanding and patient, i would definitely buy from them again.",1,positive,seller understanding patient would definitely buy
i give wirefly 1 star.i will contact cingular/at&t; and inform them of this practice.,0,negative,give wirefly stari contact cingularatt inform practice
it's aggravating!,0,negative,aggravating
great product for the price!.,1,positive,great product price
"i have purchased these for both family and friends, and all enjoy their clarity and ease of use",1,positive,purchased family friend enjoy clarity ease use
virgin wireless rocks and so does this cheap little phone!,1,positive,virgin wireless rock cheap little phone
"none of it works, just don't buy it.",0,negative,none work dont buy
"muddy, low quality sound, and the casing around the wire's insert was poorly super glued and slid off.",0,negative,muddy low quality sound casing around wire insert poorly super glued slid
please dont waste your money.,0,negative,please dont waste money
"all in all, i'm quite satisfied with this purchase.",1,positive,im quite satisfied purchase
"if you are looking for a good quality motorola headset keep looking, this isn't it.",0,negative,looking good quality motorola headset keep looking isnt
yet plantronincs continues to use the same flawed charger design.,0,negative,yet plantronincs continues use flawed charger design
disapointing results.,0,negative,disapointing result
cumbersome design.,0,negative,cumbersome design
"great it was new packaged nice works good, no problems and it came in less time then i expected!!!!",1,positive,great new packaged nice work good problem came less time expected
great product.,1,positive,great product
it's a piece of crap!,0,negative,piece crap
"my experience was terrible..... this was my fourth bluetooth headset, and while it was much more comfortable than my last jabra (which i hated!!!",0,negative,experience terrible fourth bluetooth headset much comfortable last jabra hated
this fixes all the problems.,1,positive,fix problem
worst ever.,0,negative,worst ever
i am very happy,1,positive,happy
"i've had no trouble accessing the internet, downloading ringtones or performing any of the functions.",1,positive,ive trouble accessing internet downloading ringtones performing function
"i can barely ever hear on it and am constantly saying ""what?""",0,negative,barely ever hear constantly saying
the battery life is highly unacceptable.,0,negative,battery life highly unacceptable
that company is a joke.,0,negative,company joke
it does everything the description said it would.,1,positive,everything description said would
due to this happening on every call i was forced to stop using this headset.,0,negative,due happening every call forced stop using headset
"it works great with a car charger, especially if you cannot plug in two adapters at the same time.",1,positive,work great car charger especially cannot plug two adapter time
"verizon tech support walked my through a few procedures, none of which worked and i ended up having to do a hard re-set, wiping out all my data.",0,negative,verizon tech support walked procedure none worked ended hard reset wiping data
"voice quality, signal strength, dropped calls.",0,negative,voice quality signal strength dropped call
"it plays louder than any other speaker of this size; the price is so low that most would think the quality is lacking, however, it's not.",1,positive,play louder speaker size price low would think quality lacking however
better than expected.,1,positive,better expected
"it feels poorly constructed, the menus are difficult to navigate, and the buttons are so recessed that it is difficult to push them.",0,negative,feel poorly constructed menu difficult navigate button recessed difficult push
battery is holding up well.,1,positive,battery holding well
also difficult to put on.i'd recommend avoiding this product.,0,negative,also difficult put onid recommend avoiding product
"i only used it two days, and it wasn't always easy to hear with.",0,negative,used two day wasnt always easy hear
i got the car charger and not even after a week the charger was broken...i went to plug it in and it started smoking.,0,negative,got car charger even week charger brokeni went plug started smoking
sprint - terrible customer service.,0,negative,sprint terrible customer service
linked to my phone without effort.,1,positive,linked phone without effort
they are so cool!,1,positive,cool
easy to use.,1,positive,easy use
better than new.,1,positive,better new
"what possesed me to get this junk, i have no idea...",0,negative,possesed get junk idea
piece of trash.,0,negative,piece trash
a pretty good product.,1,positive,pretty good product
this is a great phone!.,1,positive,great phone
"for the price on amazon, it is an excellent product, which i would highly recommend.",1,positive,price amazon excellent product would highly recommend
their research and development division obviously knows what they're doing.,1,positive,research development division obviously know theyre
"the real killer is the volume, and of course it breaking.",0,negative,real killer volume course breaking
those phones are working just fine now.,1,positive,phone working fine
i am more than happy with this product.,1,positive,happy product
poor construction.,0,negative,poor construction
this is infuriating.,0,negative,infuriating
"overall, i would recommend this phone over the new walkman.",1,positive,overall would recommend phone new walkman
sprint charges for this service.,0,negative,sprint charge service
"it is cheap, and it feel and look just as cheap.",0,negative,cheap feel look cheap
it fits my ear well and is comfortable on.,1,positive,fit ear well comfortable
it doesn't work in europe or asia.,0,negative,doesnt work europe asia
clipping this to your belt will deffinitely make you feel like 50 cent's up-and-coming.,1,positive,clipping belt deffinitely make feel like cent upandcoming
i like design and look of jabra behing the ear headsets and 5020 is pretty comfortible to wear 24 hours a day without pain in the ear.,1,positive,like design look jabra behing ear headset pretty comfortible wear hour day without pain ear
i was amazed at the quick arrival of the two original lg cell phone batteries and and at a fraction of the price.,1,positive,amazed quick arrival two original lg cell phone battery fraction price
the worst phone from samsung...crap..... this crappy samsung e715.. is the worst i have ever seeen.,0,negative,worst phone samsungcrap crappy samsung e worst ever seeen
the charger worked for about a week and then completely stopped charging my phone.,0,negative,charger worked week completely stopped charging phone
poor product.,0,negative,poor product
however i needed some better instructions.,0,negative,however needed better instruction
you need two hands to operate the screen.this software interface is decade old and cannot compete with new software designs.,0,negative,need two hand operate screenthis software interface decade old cannot compete new software design
worked very well paired with a treo 700w and as a skype headset on my pc (using a usb bluetooth transceiver).,1,positive,worked well paired treo w skype headset pc using usb bluetooth transceiver
"steer clear of this product and go with the genuine palm replacementr pens, which come in a three-pack.",0,negative,steer clear product go genuine palm replacementr pen come threepack
do not buy do not buyit sucks,0,negative,buy buyit suck
this is a great product..... sure beats using your fingers!.,1,positive,great product sure beat using finger
"plus, i seriously do not believe it is worth its steep price point.",0,negative,plus seriously believe worth steep price point
all the other cases i've tried normally fall apart after a few months but this one seems to be in for the long haul.,1,positive,case ive tried normally fall apart month one seems long haul
very dissapointing performance.,0,negative,dissapointing performance
don't make the same mistake that i did and please don't buy this phone.,0,negative,dont make mistake please dont buy phone
this phone might well be the worst i've ever had in any brand.,0,negative,phone might well worst ive ever brand
case was more or less an extra that i originally put on but later discarded because it scratched my ear.,0,negative,case less extra originally put later discarded scratched ear
i recommend igo to anyone with different brand cell phones/mp3 players in the family.,1,positive,recommend igo anyone different brand cell phonesmp player family
don't bother - go to the store.,0,negative,dont bother go store
"i posted more detailed comments under the grey or black phone, but i have the fire red and it's a great color!",1,positive,posted detailed comment grey black phone fire red great color
i did not have any problem with this item and would order it again if needed.,1,positive,problem item would order needed
you get what you pay for i guess.,0,negative,get pay guess
"not only did the software do a great job of this, i could also make my own ringtones form my existing cds without an internet connection.",1,positive,software great job could also make ringtones form existing cd without internet connection
im surprised this is a good quality car charger and there's not much reviews about it.,1,positive,im surprised good quality car charger there much review
these are fabulous!,1,positive,fabulous
"however, bt headsets are currently not good for real time games like first-person shooters since the audio delay messes me up.",0,negative,however bt headset currently good real time game like firstperson shooter since audio delay mess
i used bitpim (a free program you can find on the internet)to transfer data to the phone.the price of the cable was excellent.,1,positive,used bitpim free program find internetto transfer data phonethe price cable excellent
disappointing accessory from a good manufacturer.,0,negative,disappointing accessory good manufacturer
"performed awful -- muffled, tinny incoming sound and severe echo for those on the other end of the call.",0,negative,performed awful muffled tinny incoming sound severe echo end call
very wind-resistant.,1,positive,windresistant
"obviously they have a terrible customer service, so you get what you pay for.",0,negative,obviously terrible customer service get pay
"they do not last forever, but is not overly expensive to replace.easy to operate and the sound is much better than others i have tried.",1,positive,last forever overly expensive replaceeasy operate sound much better others tried
"i contacted the company and they told me that, although the unit was still under warranty, if i couldn't produce my receipt i was out of luck.",0,negative,contacted company told although unit still warranty couldnt produce receipt luck
linksys should have some way to exchange a bad phone for a refurb unit or something!,0,negative,linksys way exchange bad phone refurb unit something
phone is sturdy as all nokia bar phones are.,1,positive,phone sturdy nokia bar phone
great phone.,1,positive,great phone
"when i placed my treo into the case, not only was it not snug, but there was a lot of extra room on the sides.",0,negative,placed treo case snug lot extra room side
i'm pleased.,1,positive,im pleased
battery is terrible.,0,negative,battery terrible
i found the product to be easy to set up and use.,1,positive,found product easy set use
the earpiece on this is too large or too heavy...it keeps falling out of my ear.,0,negative,earpiece large heavyit keep falling ear
utter crap.. sound quality is terrible.,0,negative,utter crap sound quality terrible
"the charger arrived within the promised timeframe, but it did not work.",0,negative,charger arrived within promised timeframe work
"no ear loop needed, it's tiny and the sound is great.",1,positive,ear loop needed tiny sound great
"finally, after three or four times the spring of the latch broke and i could not use it any longer on the visor.",0,negative,finally three four time spring latch broke could use longer visor
"the handsfree part works fine, but then the car tries to download the address book, and the treo reboots.overall, i still rate this device high.",1,positive,handsfree part work fine car try download address book treo rebootsoverall still rate device high
talk about useless customer service.,0,negative,talk useless customer service
"it felt too light and ""tinny."".",0,negative,felt light tinny
this does not fit the palm tungsten e2 and it broke the first time i tried to plug it in.,0,negative,fit palm tungsten e broke first time tried plug
i'm happy about this purchase- good quality and low price.,1,positive,im happy purchase good quality low price
i love the look and feel of samsung flipphones.,1,positive,love look feel samsung flipphones
its well-designed and very sharp -- the blue is a very nice color.,1,positive,welldesigned sharp blue nice color
does everything it should and more.,1,positive,everything
i could not recommend these more.,0,negative,could recommend
nice sound.,1,positive,nice sound
"looks good in the picture, but this case was a huge disappointment!!",0,negative,look good picture case huge disappointment
much less than the jawbone i was going to replace it with.,1,positive,much less jawbone going replace
setup went very smoothly.,1,positive,setup went smoothly
its extremely slow and takes forever to do anything with it.,0,negative,extremely slow take forever anything
"a must study for anyone interested in the ""worst sins"" of industrial design.",0,negative,must study anyone interested worst sin industrial design
the first thing that happened was that the tracking was off.,0,negative,first thing happened tracking
"it is well made, easy to access the phone and has a handy, detachable belt clip.",1,positive,well made easy access phone handy detachable belt clip
then i had to continue pairing it periodically since it somehow kept dropping.,0,negative,continue pairing periodically since somehow kept dropping
can't upload ringtones from a third party.,0,negative,cant upload ringtones third party
"bluetooth does not work, phone locks up, screens just flash up and now it just makes calls randomly while in my pocket locked.",0,negative,bluetooth work phone lock screen flash make call randomly pocket locked
truly awful.,0,negative,truly awful
"it works fine on my motorola 325 cellphone, and a lot better than the worn-out battery did.",1,positive,work fine motorola cellphone lot better wornout battery
the volume for the ringer is real good (you have choices how loud).,1,positive,volume ringer real good choice loud
and none of the tones is acceptable.,0,negative,none tone acceptable
camera color balance is awful.,0,negative,camera color balance awful
"this product is clearly not ready for prime time, i don't care how cool it looks, if you can't tell a call is coming in it's worthless.",0,negative,product clearly ready prime time dont care cool look cant tell call coming worthless
i love the ringtones because they are so upbeat!,1,positive,love ringtones upbeat
chinese forgeries abound!.,0,negative,chinese forgery abound
easy to pair with my samsung cell.,1,positive,easy pair samsung cell
the instructions didn't explain that a microphone jack could be used.,0,negative,instruction didnt explain microphone jack could used
i would advise to not purchase this item it never worked very well.,0,negative,would advise purchase item never worked well
too bad you have to pay up to $$$ a month for the service!,0,negative,bad pay month service
works well.,1,positive,work well
the nokia ca-42 usb cable did not work with my phone.,0,negative,nokia ca usb cable work phone
clear crisp sound.,1,positive,clear crisp sound
"i have to use the smallest earpieces provided, but it stays on pretty well.",1,positive,use smallest earpiece provided stay pretty well
"the biggest complaint i have is, the battery drains superfast.",0,negative,biggest complaint battery drain superfast
the design might be ergonomic in theory but i could not stand having these in my ear.,0,negative,design might ergonomic theory could stand ear
do not buy if you want to use the holster.,0,negative,buy want use holster
the phone can also take great pictures and even video clips.,1,positive,phone also take great picture even video clip
it doesn't make you look cool.,0,negative,doesnt make look cool
"because both ears are occupied, background is not distracting at all.",1,positive,ear occupied background distracting
"comfortable fit - you need your headset to be comfortable for at least an hour at a time, if not for an entire day.",1,positive,comfortable fit need headset comfortable least hour time entire day
"also, the phone doesn't seem to accept anything except cbr mp3s, preferably ripped by windows media player.",0,negative,also phone doesnt seem accept anything except cbr mp preferably ripped window medium player
you can't beat the price on these.,1,positive,cant beat price
"* comes with a strong light that you can use to light up your camera shots, and even flash sos signals (seriously!",1,positive,come strong light use light camera shot even flash so signal seriously
lightweight and works well.,1,positive,lightweight work well
so just beware.,0,negative,beware
i love this cable - it allows me to connect any mini-usb device to my pc.,1,positive,love cable allows connect miniusb device pc
so anyone near you will hear part of your conversation.,0,negative,anyone near hear part conversation
this is cool because most cases are just open there allowing the screen to get all scratched up.,1,positive,cool case open allowing screen get scratched
i bought this phone as a replacement for my startac and have regretted it since.,0,negative,bought phone replacement startac regretted since
appears to actually outperform the original battery from china that came with my v325i.,1,positive,appears actually outperform original battery china came vi
can't store anything but phone numbers to sim.,0,negative,cant store anything phone number sim
"it lasts less than 3o minutes, if i actually try to use the phone.my wife has the same phone with the same problem.",0,negative,last less minute actually try use phonemy wife phone problem
poor quality.,0,negative,poor quality
"jabra ear gels ""r"" the best!.",1,positive,jabra ear gel r best
not worth it.,0,negative,worth
the phone crashed completely and now i have to get it replaced.,0,negative,phone crashed completely get replaced
"it quit working after i'd used it for about 18 months, so i just purchased another one because this is the best headset i've ever owned.",1,positive,quit working id used month purchased another one best headset ive ever owned
"unfortunately it will not recharge my iphone 4s, despite connecting it from multiple power sources (imac, external battery, wall outlet, etc).",0,negative,unfortunately recharge iphone despite connecting multiple power source imac external battery wall outlet etc
it was a great phone.,1,positive,great phone
if you simply want a small flip phone -- look elsewhere as the extra bells & whistles are mediocre.,0,negative,simply want small flip phone look elsewhere extra bell whistle mediocre
"good value, works fine - power via usb, car, or wall outlet.",1,positive,good value work fine power via usb car wall outlet
my phone doesn't slide around my car now and the grip prevents my phone from slipping out of my hand.,1,positive,phone doesnt slide around car grip prevents phone slipping hand
this is simply the best bluetooth headset for sound quality!,1,positive,simply best bluetooth headset sound quality
think it over when you plan to own this one!this sure is the last moto phone for me!,0,negative,think plan onethis sure last moto phone
"in the span of an hour, i had two people exclaim ""whoa - is that the new phone on tv?!?",1,positive,span hour two people exclaim whoa new phone tv
i have always used corded headsets and the freedom from the wireless is very helpful.,1,positive,always used corded headset freedom wireless helpful
"this case has passed the one year mark and while it shows signs of wear, it is 100% functional.",1,positive,case passed one year mark show sign wear functional
"other than that, the leather is nice and soft; the fit is very tight; the cut out for the face is a good shape.",1,positive,leather nice soft fit tight cut face good shape
it has everything i need and i couldn't ask for more.,1,positive,everything need couldnt ask
after receiving and using the product for just 2 days it broke.,0,negative,receiving using product day broke
this product is great... it makes working a lot easier i can go to the copier while waiting on hold for something.,1,positive,product great make working lot easier go copier waiting hold something
none of the three sizes they sent with the headset would stay in my ears.,0,negative,none three size sent headset would stay ear
t-mobile has the best customer service anywhere.,1,positive,tmobile best customer service anywhere
arrived quickly and much less expensive than others being sold.,1,positive,arrived quickly much less expensive others sold
we have tried 2 units and they both failed within 2 months.. pros,0,negative,tried unit failed within month pro
"provides good protection and looks classy, too.",1,positive,provides good protection look classy
krussel always good.,1,positive,krussel always good
"the tracfonewebsite is user friendly and makes it easy toactivate, etc.",1,positive,tracfonewebsite user friendly make easy toactivate etc
the design is very good.4.,1,positive,design good
i great reception all the time.,1,positive,great reception time
i would highly recommend this product.,1,positive,would highly recommend product
"couldn't use the unit with sunglasses, not good in texas!",0,negative,couldnt use unit sunglass good texas
it dit not work most of the time with my nokia 5320.,0,negative,dit work time nokia
"bought mainly for the charger, which broke soon after purchasing.",0,negative,bought mainly charger broke soon purchasing
fantastic buy and will get again for whatever my next phone is,1,positive,fantastic buy get whatever next phone
"stay away from this store, be careful.",0,negative,stay away store careful
this blueant supertooth hands-free phone speaker is awesome.,1,positive,blueant supertooth handsfree phone speaker awesome
.... item arrived quickly and works great with my metro pcs samsung sch-r450 slider phone and sony premium sound in ear plugs.,1,positive,item arrived quickly work great metro pc samsung schr slider phone sony premium sound ear plug
"it is light, has plenty of battery capacity, and is very confortable to wear for somewhat extended periods of time.",1,positive,light plenty battery capacity confortable wear somewhat extended period time
disappointing.,0,negative,disappointing
blue ant is easy to use.,1,positive,blue ant easy use
cheap but hey it works.. was pleasantly suprised given the low cost of this item.,1,positive,cheap hey work pleasantly suprised given low cost item
the camera on the phone may be used as a dustpan when indoors... i'd rather be using a disposable then this.,0,negative,camera phone may used dustpan indoors id rather using disposable
then a few days later the a puff of smoke came out of the phone while in use.,0,negative,day later puff smoke came phone use
it's very convenient and simple to use - gets job done & makes the car ride so much smoother.,1,positive,convenient simple use get job done make car ride much smoother
the nano stated it.my son was dissapointed.,0,negative,nano stated itmy son dissapointed
the sound quality is excellent as well.,1,positive,sound quality excellent well
its the best headset i have used.,1,positive,best headset used
would not reccommend.,0,negative,would reccommend
they have been around for years and carries the highest quality of anti-glare screen protector that i have found to date.,1,positive,around year carry highest quality antiglare screen protector found date
just what i wanted.,1,positive,wanted
this particular model would not work with my motorola q smartphone.,0,negative,particular model would work motorola q smartphone
wont work right or atleast for me.,0,negative,wont work right atleast
in addition it feels &amp; looks as if the phone is all lightweight cheap plastic.,0,negative,addition feel amp look phone lightweight cheap plastic
"but now that it is ""out of warranty"" the same problems reoccure.bottom line... put your money somewhere else... cingular will not support it.",0,negative,warranty problem reoccurebottom line put money somewhere else cingular support
"i really wanted the plantronics 510 to be the right one, but it has too many issues for me.the good",0,negative,really wanted plantronics right one many issue methe good
great product.,1,positive,great product
crisp and clear.,1,positive,crisp clear
after the first charge kept going dead after 12 minutes.,0,negative,first charge kept going dead minute
"very cheap plastic, creaks like an old wooden floor.",0,negative,cheap plastic creak like old wooden floor
"i get absolutely horrible reception in my apartment, where with other phones i have not had this problem.",0,negative,get absolutely horrible reception apartment phone problem
the reception has been generally good.,1,positive,reception generally good
"excellent sound, battery life and inconspicuous to boot!.",1,positive,excellent sound battery life inconspicuous boot
great bluetooth!.,1,positive,great bluetooth
i highly recommend this case.,1,positive,highly recommend case
worthwhile.,1,positive,worthwhile
"after my phone got to be about a year old, it's been slowly breaking despite much care on my part.",0,negative,phone got year old slowly breaking despite much care part
i am sorry i made this purchase.,0,negative,sorry made purchase
i bought these hoping i could make my bluetooth headset fit better but these things made it impossible to wear.,0,negative,bought hoping could make bluetooth headset fit better thing made impossible wear
treo and t-mobile refused to replace it again and forced me to buy another phone without any kind of upgrade discount.,0,negative,treo tmobile refused replace forced buy another phone without kind upgrade discount
it was horrible!.,0,negative,horrible
i don't think it would hold it too securly on your belt.,0,negative,dont think would hold securly belt
this allows the possibility of double booking for the same date and time after the first.,0,negative,allows possibility double booking date time first
they work about 2 weeks then break.,0,negative,work week break
it is simple to use and i like it.,1,positive,simple use like
"it's a great tool for entertainment, communication, and data management.oh, be sure to use activesync 4.2 for optimal data synchronization results!",1,positive,great tool entertainment communication data managementoh sure use activesync optimal data synchronization result
i can't use this case because the smell is disgusting.,0,negative,cant use case smell disgusting
not what i wanted.,0,negative,wanted
i own 2 of these cases and would order another.,1,positive,case would order another
i bought this battery with a coupon from amazon and i'm very happy with my purchase.,1,positive,bought battery coupon amazon im happy purchase
